Hole_ID,From_Depth,To_Depth,Sample,Deposit_Na,Prospect_Code,Company,Sheet_Number,Data_Type,Drilling_Type,North,East,RL,Comment,Au,Au1,Cu,Pb,Zn,As,Bi,Mo,Mn,Fe,S,Job_No,HasParam,HasTextParams,Preferred_Interval,TagCharacter,Collar_ID,Sample_ID,Load_Number,Date_Updated,User_Updating,Update_Status,Domain_Grade,Domain_Final
MMA01,7,9,1.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,8,9,23,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230314,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,25,27,10.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,11,15,24,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230315,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_7_Undefined
MMA01,27,29,11.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,3,8,20,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230316,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,29,31,12.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230317,15838,1997-08-06 00:00:00,Convertor,1,Unmineralized,Domain_6_Unmineralized
MMA01,31,33,13.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,3,8,17,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230318,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,33,35,14.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,7,11,22,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230319,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,35,37,15.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,5,14,22,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230320,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,37,39,16.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,2,7,16,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230321,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,39,41,17.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,5,11,39,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230322,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,41,43,18.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,12,16,53,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230323,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_4_ZnPb_Cap
MMA01,43,45,19.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,15,17,53,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230324,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_4_ZnPb_Cap
MMA01,9,11,2.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,9,11,33,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230325,15838,1997-08-06 00:00:00,Convertor,1,Low-Grade,Domain_5_LowGrade_Peripheral
MMA01,11,13,3.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,12,19,32,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230326,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_7_Undefined
MMA01,13,15,4.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,20,28,52,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230327,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_4_ZnPb_Cap
MMA01,15,17,5.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,10,14,36,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230328,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_7_Undefined
MMA01,17,19,6.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,11,18,40,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230329,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_7_Undefined
MMA01,19,21,7.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,18,31,70,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230330,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_4_ZnPb_Cap
MMA01,21,23,8.0,Thalanga,ESMM,ESSO,8057,INT,RAB,0,0,0,,NA,NA,15,27,53,NA,NA,NA,NA,NA,NA,PIL81008,N,N,NA,,20432,230331,15838,1997-08-06 00:00:00,Convertor,1,Medium-Grade,Domain_4_ZnPb_Cap
